global_steps,train/loss,eval/loss
0,3.5167,3.6392
10,2.6865,2.9199
20,2.1983,2.3948
30,1.7781,2.0887
40,1.4217,1.5935
50,1.1218,1.4532
60,0.8943,1.3860
70,0.7342,1.2009
80,0.5863,0.9224
90,0.4383,0.8216
100,0.3408,0.7493
110,0.2386,0.6106
120,0.2065,0.5181
130,0.1346,0.4523
140,0.0858,0.4802
150,0.0823,0.5907
160,0.0599,0.4444
170,0.0647,0.4353
180,0.0520,0.3098
190,0.0430,0.4170
200,0.0467,0.3845
210,0.0383,0.4225
220,0.0317,0.3821
230,0.0213,0.4028
240,0.0252,0.3296
250,0.0335,0.4394
260,0.0218,0.3099
270,0.0245,0.3933
280,0.0175,0.2866
290,0.0259,0.2424
300,0.0204,0.3005
310,0.0188,0.2837
320,0.0179,0.2500
330,0.0193,0.3295
340,0.0185,0.2220
350,0.0151,0.2632
360,0.0143,0.3302
370,0.0163,0.3663
380,0.0148,0.3935
390,0.0117,0.4146
400,0.0194,0.4391
410,0.0181,0.4829
420,0.0171,0.5313
430,0.0183,0.5690
440,0.0142,0.5720
450,0.0156,0.5921
